themepark,country,month,avg_crowd_level,avg_temp,avg_precipitation,avg_humidity,public_holiday,school_holiday
Familypark,Austria,Mar,37,5.5,52,71,0,0
Familypark,Austria,Apr,25,10.9,55,65,2,10
Familypark,Austria,May,39,15.3,84,67,2,2
Familypark,Austria,Jun,52,19.3,85,65,3,6
Familypark,Austria,Jul,61,21.1,91,64,0,0
Familypark,Austria,Aug,75,20.6,84,66,1,1
Familypark,Austria,Sep,52,15.8,81,72,0,0
Familypark,Austria,Oct,48,10.9,58,78,1,4
Familypark,Austria,Nov,71,6,55,81,1,1
Bellewaerde,Belgium,Jan,26,4.3,65,84,1,5
Bellewaerde,Belgium,Mar,16,6.8,54,78,0,7
Bellewaerde,Belgium,Apr,29,9.9,55,73,1,14
Bellewaerde,Belgium,May,47,13.3,68,73,3,3
Bellewaerde,Belgium,Jun,41,16.2,65,73,0,0
Bellewaerde,Belgium,Jul,49,18.2,66,73,1,1
Bellewaerde,Belgium,Aug,67,18,74,74,1,1
Bellewaerde,Belgium,Sep,57,15.6,57,76,0,0
Bellewaerde,Belgium,Oct,47,12.2,63,80,0,4
Bellewaerde,Belgium,Nov,59,8,67,85,2,3
Bellewaerde,Belgium,Dec,31,5,74,85,1,14
Bobbejaanland,Belgium,Mar,53,6.5,63,77,0,7
Bobbejaanland,Belgium,Apr,38,10.2,55,70,1,14
Bobbejaanland,Belgium,May,42,14,69,69,3,3
Bobbejaanland,Belgium,Jun,39,17,76,69,0,0
Bobbejaanland,Belgium,Jul,40,18.8,81,70,1,1
Bobbejaanland,Belgium,Aug,67,18.3,82,73,1,1
Bobbejaanland,Belgium,Sep,43,15.5,65,76,0,0
Bobbejaanland,Belgium,Oct,53,11.8,66,80,0,4
Bobbejaanland,Belgium,Nov,67,7.4,71,86,2,3
Plopsaland De Panne ,Belgium,Jan,30,5,61,83,1,5
Plopsaland De Panne ,Belgium,Feb,32,5.1,52,81,0,0
Plopsaland De Panne ,Belgium,Mar,40,7,51,79,0,5
Plopsaland De Panne ,Belgium,Apr,47,9.9,54,75,1,14
Plopsaland De Panne ,Belgium,May,46,13.1,64,75,3,3
Plopsaland De Panne ,Belgium,Jun,45,16,64,75,0,0
Plopsaland De Panne ,Belgium,Jul,71,18.1,62,75,1,1
Plopsaland De Panne ,Belgium,Aug,84,18.1,72,75,1,1
Plopsaland De Panne ,Belgium,Sep,51,16,61,77,0,0
Plopsaland De Panne ,Belgium,Oct,51,12.7,66,80,0,4
Plopsaland De Panne ,Belgium,Nov,39,8.7,69,84,2,3
Plopsaland De Panne ,Belgium,Dec,33,5.8,71,83,1,14
Walibi Belgium,Belgium,Jan,44,3.2,68,85,1,5
Walibi Belgium,Belgium,Apr,50,9.7,56,71,1,14
Walibi Belgium,Belgium,May,50,13.4,69,72,3,3
Walibi Belgium,Belgium,Jun,56,16.4,74,71,0,0
Walibi Belgium,Belgium,Jul,48,18.3,79,71,1,1
Walibi Belgium,Belgium,Aug,61,17.9,80,73,1,1
Walibi Belgium,Belgium,Sep,67,15.1,60,76,0,0
Walibi Belgium,Belgium,Oct,56,11.6,62,80,0,4
Walibi Belgium,Belgium,Nov,74,7.2,69,86,2,3
Walibi Belgium,Belgium,Dec,29,4,80,86,1,14
Beto Carrero World,Brazil,Jan,63,12.7,34,61,1,11
Beto Carrero World,Brazil,Feb,34,15,32,56,0,0
Beto Carrero World,Brazil,Mar,46,17.8,47,53,0,0
Beto Carrero World,Brazil,Apr,50,21.3,43,53,1,5
Beto Carrero World,Brazil,May,55,23.3,48,59,1,1
Beto Carrero World,Brazil,Jun,42,24.7,41,61,0,0
Beto Carrero World,Brazil,Jul,61,24.6,49,61,0,17
Beto Carrero World,Brazil,Aug,45,25.1,39,58,0,4
Beto Carrero World,Brazil,Sep,52,22.3,123,71,1,1
Beto Carrero World,Brazil,Oct,40,19.7,64,70,1,4
Beto Carrero World,Brazil,Nov,45,15.9,38,66,3,1
Beto Carrero World,Brazil,Dec,46,13.2,29,61,1,9
Canada's Wonderland ,Canada,Jan,57,-5.4,64,72,1,5
Canada's Wonderland ,Canada,Apr,93,6,80,65,2,2
Canada's Wonderland ,Canada,May,34,13,76,66,1,1
Canada's Wonderland ,Canada,Jun,50,18.5,81,69,0,10
Canada's Wonderland ,Canada,Jul,50,21.7,74,66,1,31
Canada's Wonderland ,Canada,Aug,68,21,69,69,1,31
Canada's Wonderland ,Canada,Sep,60,17.5,73,71,2,4
Canada's Wonderland ,Canada,Oct,38,10.6,78,73,1,1
Canada's Wonderland ,Canada,Nov,23,4.1,69,76,1,1
Canada's Wonderland ,Canada,Dec,27,-1.6,68,74,2,6
"La Ronde, Montreal",Canada,Jun,28,18.7,114,69,0,10
"La Ronde, Montreal",Canada,Jul,30,21.6,106,69,1,31
"La Ronde, Montreal",Canada,Aug,39,20.7,105,71,1,31
"La Ronde, Montreal",Canada,Sep,37,16.9,100,72,2,4
"La Ronde, Montreal",Canada,Oct,52,9.6,116,73,1,1
Shanghai Disney Resort ,China,Jan,45,4.8,64,72,5,18
Shanghai Disney Resort ,China,Feb,49,6.2,68,75,0,16
Shanghai Disney Resort ,China,Mar,40,10,97,72,0,0
Shanghai Disney Resort ,China,Apr,68,15.2,110,73,1,4
Shanghai Disney Resort ,China,May,63,20.1,131,76,3,2
Shanghai Disney Resort ,China,Jun,71,23.8,268,83,0,8
Shanghai Disney Resort ,China,Jul,61,28,147,82,0,31
Shanghai Disney Resort ,China,Aug,61,27.8,162,81,0,31
Shanghai Disney Resort ,China,Sep,36,24.1,111,79,0,8
Shanghai Disney Resort ,China,Oct,43,19.1,62,75,4,4
Shanghai Disney Resort ,China,Nov,37,13.5,60,73,0,0
Shanghai Disney Resort ,China,Dec,34,7.1,47,70,0,7
Universal Studios Beijing,China,Jan,73,-3.7,4,39,5,18
Universal Studios Beijing,China,Feb,61,-0.3,6,40,0,16
Universal Studios Beijing,China,Mar,38,6.3,10,36,0,0
Universal Studios Beijing,China,Sep,27,20.9,61,5,0,8
Universal Studios Beijing,China,Oct,35,13.2,33,3,4,4
Universal Studios Beijing,China,Nov,48,3.8,15,2,0,0
Universal Studios Beijing,China,Dec,40,-2.4,4,1,0,7
Djurs Sommerland,Denmark,Apr,29,7.3,45,76,4,7
Djurs Sommerland,Denmark,May,50,11.6,59,74,1,2
Djurs Sommerland,Denmark,Jun,43,14.8,74,73,2,2
Djurs Sommerland,Denmark,Jul,64,17.3,66,76,0,31
Djurs Sommerland,Denmark,Aug,40,17,75,77,0,8
Djurs Sommerland,Denmark,Sep,43,14.2,71,79,0,0
Djurs Sommerland,Denmark,Oct,61,10.1,81,81,0,7
Fårup Sommerland,Denmark,Apr,48,7.5,48,74,4,7
Fårup Sommerland,Denmark,May,53,11.6,59,71,1,2
Fårup Sommerland,Denmark,Jun,39,14.7,74,72,2,2
Fårup Sommerland,Denmark,Jul,67,17.2,70,74,0,31
Fårup Sommerland,Denmark,Aug,42,16.8,85,76,0,8
Fårup Sommerland,Denmark,Sep,44,14,71,79,0,0
Fårup Sommerland,Denmark,Oct,55,9.7,79,82,0,0
Legoland Billund,Denmark,Mar,39,3.3,58,80,0,0
Legoland Billund,Denmark,Apr,44,7.4,52,74,4,7
Legoland Billund,Denmark,May,39,11.5,62,72,1,2
Legoland Billund,Denmark,Jun,37,14.3,77,74,2,2
Legoland Billund,Denmark,Jul,74,16.7,81,76,0,31
Legoland Billund,Denmark,Aug,66,16.4,88,77,0,8
Legoland Billund,Denmark,Sep,30,13.7,84,81,0,0
Legoland Billund,Denmark,Oct,46,9.6,82,84,0,7
Legoland Billund,Denmark,Nov,20,5.6,68,87,0,0
Legoland Billund,Denmark,Dec,14,2.8,70,87,2,9
Chessington World of Adventures,United Kingdom,Jan,44,4.8,61,84,1,3
Chessington World of Adventures,United Kingdom,Feb,45,4.8,49,81,0,5
Chessington World of Adventures,United Kingdom,Mar,40,6.2,51,79,0,0
Chessington World of Adventures,United Kingdom,Apr,56,8.3,55,78,2,14
Chessington World of Adventures,United Kingdom,May,47,11.2,58,77,2,6
Chessington World of Adventures,United Kingdom,Jun,48,14,72,78,0,0
Chessington World of Adventures,United Kingdom,Jul,60,16.2,70,76,0,10
Chessington World of Adventures,United Kingdom,Aug,80,16.2,71,77,1,31
Chessington World of Adventures,United Kingdom,Sep,40,14.3,62,79,0,0
Chessington World of Adventures,United Kingdom,Oct,42,11.4,68,81,0,4
Chessington World of Adventures,United Kingdom,Nov,42,7.7,67,84,0,1
Chessington World of Adventures,United Kingdom,Dec,28,5.2,63,84,2,8
Alton Towers,United Kingdom,Jan,30,4.7,64,86,1,3
Alton Towers,United Kingdom,Feb,73,4.7,53,83,0,5
Alton Towers,United Kingdom,Mar,36,6.3,50,79,0,0
Alton Towers,United Kingdom,Apr,44,8.8,61,75,2,14
Alton Towers,United Kingdom,May,42,12,65,74,2,6
Alton Towers,United Kingdom,Jun,49,15,62,73,0,0
Alton Towers,United Kingdom,Jul,61,16.9,63,72,0,10
Alton Towers,United Kingdom,Aug,74,16.5,67,75,1,31
Alton Towers,United Kingdom,Sep,41,14.5,56,78,0,0
Alton Towers,United Kingdom,Oct,48,11.4,68,83,0,4
Alton Towers,United Kingdom,Nov,45,7.6,72,86,0,1
Alton Towers,United Kingdom,Dec,29,5.3,67,86,2,8
Legoland Windsor,United Kingdom,Jan,25,4.8,15,86,1,3
Legoland Windsor,United Kingdom,Feb,46,4.9,10,82,0,5
Legoland Windsor,United Kingdom,Mar,28,6.6,8,79,0,0
Legoland Windsor,United Kingdom,Apr,50,9.3,12,75,2,14
Legoland Windsor,United Kingdom,May,46,12.5,14,74,2,6
Legoland Windsor,United Kingdom,Jun,50,15.5,15,72,0,0
Legoland Windsor,United Kingdom,Jul,59,17.6,14,71,0,10
Legoland Windsor,United Kingdom,Aug,80,17,17,74,1,31
Legoland Windsor,United Kingdom,Sep,44,14.9,11,77,0,0
Legoland Windsor,United Kingdom,Oct,48,11.7,15,82,0,4
Legoland Windsor,United Kingdom,Nov,42,7.7,20,86,0,1
Legoland Windsor,United Kingdom,Dec,23,5.4,16,86,2,8
Paultons Park,United Kingdom,Feb,37,4.7,53,83,0,5
Paultons Park,United Kingdom,Mar,30,6.3,50,79,0,0
Paultons Park,United Kingdom,Apr,49,8.8,61,75,2,14
Paultons Park,United Kingdom,May,45,12,65,74,2,6
Paultons Park,United Kingdom,Jun,49,15,62,73,0,0
Paultons Park,United Kingdom,Jul,66,16.9,63,72,0,10
Paultons Park,United Kingdom,Aug,83,16.5,67,75,1,31
Paultons Park,United Kingdom,Sep,45,14.5,56,78,0,0
Paultons Park,United Kingdom,Oct,51,11.4,68,83,0,4
Paultons Park,United Kingdom,Nov,38,7.6,72,86,0,1
Paultons Park,United Kingdom,Dec,34,5.3,67,86,2,8
Thorpe Park,United Kingdom,Feb,17,4.7,53,83,0,5
Thorpe Park,United Kingdom,Mar,28,6.3,50,79,0,0
Thorpe Park,United Kingdom,Apr,41,8.8,61,75,2,14
Thorpe Park,United Kingdom,May,33,12,65,74,2,6
Thorpe Park,United Kingdom,Jun,52,15,62,73,0,0
Thorpe Park,United Kingdom,Jul,65,16.9,63,72,0,10
Thorpe Park,United Kingdom,Aug,69,16.5,67,75,1,31
Thorpe Park,United Kingdom,Sep,39,14.5,56,78,0,0
Thorpe Park,United Kingdom,Oct,48,11.4,68,83,0,4
Thorpe Park,United Kingdom,Nov,33,7.6,72,86,0,1
Disneyland Park Paris,France,Jan,37,4.3,57,85,1,4
Disneyland Park Paris,France,Feb,53,4.6,52,81,0,21
Disneyland Park Paris,France,Mar,54,7.4,53,76,1,8
Disneyland Park Paris,France,Apr,60,10.7,56,71,1,22
Disneyland Park Paris,France,May,56,14.3,69,71,5,3
Disneyland Park Paris,France,Jun,54,17.7,63,68,0,0
Disneyland Park Paris,France,Jul,50,19.8,60,65,1,26
Disneyland Park Paris,France,Aug,65,19.4,60,66,1,31
Disneyland Park Paris,France,Sep,40,16.4,51,71,0,0
Disneyland Park Paris,France,Oct,51,12.6,65,79,0,11
Disneyland Park Paris,France,Nov,41,7.9,64,86,2,3
Disneyland Park Paris,France,Dec,57,4.8,70,86,2,10
Futuroscope ,France,Jan,59,3.1,72,83,1,4
Futuroscope ,France,Feb,49,3.7,59,78,0,21
Futuroscope ,France,Mar,31,7.4,62,73,1,8
Futuroscope ,France,Apr,49,11.1,89,68,1,22
Futuroscope ,France,May,32,15,93,68,5,3
Futuroscope ,France,Jun,35,19.4,83,63,0,0
Futuroscope ,France,Jul,55,21.4,80,61,1,26
Futuroscope ,France,Aug,78,21,78,63,1,31
Futuroscope ,France,Sep,30,17,96,70,0,0
Futuroscope ,France,Oct,58,12.9,105,78,0,11
Futuroscope ,France,Nov,63,7.3,107,83,2,3
Futuroscope ,France,Dec,48,3.9,73,83,2,10
PanoraMagique,France,Jan,9,4,65,85,1,4
PanoraMagique,France,Feb,40,4.4,57,81,0,21
PanoraMagique,France,Mar,55,7.1,57,76,1,8
PanoraMagique,France,Apr,68,10.4,58,71,1,22
PanoraMagique,France,May,63,14,70,72,5,3
PanoraMagique,France,Jun,67,17.5,61,69,0,0
PanoraMagique,France,Jul,30,19.6,59,66,1,26
PanoraMagique,France,Aug,46,19.2,63,66,1,31
PanoraMagique,France,Sep,66,16.2,52,71,0,0
PanoraMagique,France,Oct,72,12.5,66,79,0,11
PanoraMagique,France,Nov,50,7.7,67,86,2,3
PanoraMagique,France,Dec,37,4.6,79,86,2,10
Europa Park,Germany,Jan,33,2.1,80,81,2,3
Europa Park,Germany,Mar,26,6.3,23,74,3,5
Europa Park,Germany,Apr,46,10.5,18,68,1,5
Europa Park,Germany,May,42,14.7,31,70,5,5
Europa Park,Germany,Jun,45,18.5,25,67,0,10
Europa Park,Germany,Jul,59,20.3,26,65,0,28
Europa Park,Germany,Aug,71,19.9,20,67,1,31
Europa Park,Germany,Sep,44,15.9,21,72,1,10
Europa Park,Germany,Oct,56,11.5,26,79,2,6
Europa Park,Germany,Nov,30,6.2,28,84,2,3
Europa Park,Germany,Dec,33,3,34,82,2,10
Holiday Park ,Germany,Jan,29,2.3,16.1,82,2,3
Holiday Park ,Germany,Feb,30,3,13.9,78,0,5
Holiday Park ,Germany,Mar,31,6.5,15.6,74,3,5
Holiday Park ,Germany,Apr,39,10.9,11.7,67,1,10
Holiday Park ,Germany,May,50,15.1,21.1,68,5,5
Holiday Park ,Germany,Jun,42,18.8,16.7,64,0,10
Holiday Park ,Germany,Jul,44,20.7,21.1,63,0,28
Holiday Park ,Germany,Aug,59,20.3,15.6,65,1,31
Holiday Park ,Germany,Sep,43,16.3,16.7,70,1,10
Holiday Park ,Germany,Oct,52,11.6,17.8,79,2,6
Holiday Park ,Germany,Nov,37,6.6,19.4,85,2,3
Holiday Park ,Germany,Dec,20,3.3,23.3,84,2,10
Phantasialand,Germany,Jan,58,2.7,70,82,2,3
Phantasialand,Germany,Mar,91,5.9,64,76,3,5
Phantasialand,Germany,Apr,42,9.8,54,70,1,10
Phantasialand,Germany,May,45,13.8,67,70,5,5
Phantasialand,Germany,Jun,44,17,76,69,0,10
Phantasialand,Germany,Jul,55,18.9,79,69,0,28
Phantasialand,Germany,Aug,66,18.4,85,71,1,31
Phantasialand,Germany,Sep,34,15.1,68,75,1,10
Phantasialand,Germany,Oct,28,11.3,69,79,2,6
Phantasialand,Germany,Nov,28,6.9,73,85,2,3
Phantasialand,Germany,Dec,47,3.7,82,84,2,10
Rulantica,Germany,Jan,31,2.1,80,81,2,3
Rulantica,Germany,Feb,37,2.6,68,78,0,5
Rulantica,Germany,Mar,29,6.3,23,74,3,5
Rulantica,Germany,Apr,56,10.5,18,68,1,10
Rulantica,Germany,May,47,14.7,31,70,5,5
Rulantica,Germany,Jun,46,18.5,25,67,0,10
Rulantica,Germany,Jul,70,20.3,26,65,0,28
Rulantica,Germany,Aug,81,19.9,20,67,1,31
Rulantica,Germany,Sep,54,15.9,21,72,1,10
Rulantica,Germany,Oct,60,11.5,26,79,2,6
Rulantica,Germany,Nov,43,6.2,28,84,2,3
Rulantica,Germany,Dec,36,3,34,82,2,10
Disneyland Hong Kong,Hong Kong,Jan,66,15.6,36,70,4,10
Disneyland Hong Kong,Hong Kong,Feb,60,17.1,53,76,0,8
Disneyland Hong Kong,Hong Kong,Mar,57,19.6,78,79,0,2
Disneyland Hong Kong,Hong Kong,Apr,57,22.7,132,84,4,2
Disneyland Hong Kong,Hong Kong,May,43,25.4,217,86,3,3
Disneyland Hong Kong,Hong Kong,Jun,44,27.1,322,87,0,2
Disneyland Hong Kong,Hong Kong,Jul,49,27.6,263,85,1,20
Disneyland Hong Kong,Hong Kong,Aug,63,27.4,311,86,0,31
Disneyland Hong Kong,Hong Kong,Sep,21,26.6,225,82,0,0
Disneyland Hong Kong,Hong Kong,Oct,46,24.5,75,74,3,2
Disneyland Hong Kong,Hong Kong,Nov,42,21,47,71,0,2
Disneyland Hong Kong,Hong Kong,Dec,65,16.7,37,65,2,7
Gardaland,Italy,Jan,46,3.2,55,80,2,6
Gardaland,Italy,Mar,30,9.2,70,72,1,1
Gardaland,Italy,Apr,38,13.5,106,70,2,7
Gardaland,Italy,May,39,18,115,68,1,1
Gardaland,Italy,Jun,48,22.6,98,64,1,10
Gardaland,Italy,Jul,48,24.9,85,61,0,15
Gardaland,Italy,Aug,61,24.7,90,61,1,20
Gardaland,Italy,Sep,51,19.8,108,68,0,18
Gardaland,Italy,Oct,66,14.7,113,76,0,3
Gardaland,Italy,Nov,50,9.1,129,82,1,1
Gardaland,Italy,Dec,33,4.3,71,82,3,8
Tokyo Disneyland,Japan,Jan,45,4,68,67,2,6
Tokyo Disneyland,Japan,Feb,46,5,70,68,3,7
Tokyo Disneyland,Japan,Mar,52,8.5,111,68,1,6
Tokyo Disneyland,Japan,Apr,43,13.4,115,72,1,5
Tokyo Disneyland,Japan,May,44,18.2,132,75,4,0
Tokyo Disneyland,Japan,Jun,38,21.5,161,81,0,0
Tokyo Disneyland,Japan,Jul,34,25.3,144,82,1,11
Tokyo Disneyland,Japan,Aug,40,26.5,120,80,2,21
Tokyo Disneyland,Japan,Sep,39,23.2,195,80,3,3
Tokyo Disneyland,Japan,Oct,55,17.7,207,78,1,3
Tokyo Disneyland,Japan,Nov,62,12.1,99,76,4,4
Tokyo Disneyland,Japan,Dec,60,6.7,60,71,0,5
Tokyo DisneySea,Japan,Jan,47,4,68,67,2,6
Tokyo DisneySea,Japan,Feb,48,5,70,68,3,7
Tokyo DisneySea,Japan,Mar,59,8.5,111,68,1,6
Tokyo DisneySea,Japan,Apr,41,13.4,115,72,1,5
Tokyo DisneySea,Japan,May,39,18.2,132,75,4,4
Tokyo DisneySea,Japan,Jun,32,21.5,161,81,0,0
Tokyo DisneySea,Japan,Jul,31,25.3,144,82,1,11
Tokyo DisneySea,Japan,Aug,42,26.5,120,80,2,21
Tokyo DisneySea,Japan,Sep,43,23.2,195,80,3,3
Tokyo DisneySea,Japan,Oct,55,17.7,207,78,1,3
Tokyo DisneySea,Japan,Nov,68,12.1,99,76,4,4
Tokyo DisneySea,Japan,Dec,62,6.7,60,71,0,5
Universal Studios Japan,Japan,Jan,53,4.5,62,72,2,6
Universal Studios Japan,Japan,Feb,54,5.2,72,70,3,7
Universal Studios Japan,Japan,Mar,73,8.5,112,68,1,6
Universal Studios Japan,Japan,Apr,53,13.8,121,68,1,5
Universal Studios Japan,Japan,May,43,18.9,143,71,4,4
Universal Studios Japan,Japan,Jun,47,22.7,197,75,0,0
Universal Studios Japan,Japan,Jul,23,26.6,175,78,1,11
Universal Studios Japan,Japan,Aug,35,27.8,118,73,2,21
Universal Studios Japan,Japan,Sep,35,24.1,174,74,3,0
